,File,V_Neg,V_Neut,V_Pos,A_Neut,A_Pos,Laning,Shopping,Returning,Roaming,Fighting,Pushing,Defending,Dead,Misc
0,5_07_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
1,149_07_01.mp4,0,0,1,0,1,0,0,1,0,0,0,0,0,0
2,179_010_02.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
3,224_05_02.mp4,0,1,0,1,0,0,0,0,0,0,1,0,0,0
4,177_09_01.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
5,196_06_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
6,26_03_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
7,72_05_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
8,228_08_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
9,175_05_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
10,132_06_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
11,160_010_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
12,113_02_03.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
13,68_09_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
14,70_010_01.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
15,159_05_01.mp4,0,0,1,1,0,0,0,0,0,0,0,0,1,0
16,14_04_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
17,109_05_02.mp4,0,0,1,0,1,0,0,0,1,0,0,0,0,0
18,135_02_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
19,14_08_02.mp4,0,1,0,0,1,1,0,0,0,0,0,0,0,0
20,163_08_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
21,163_03_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
22,168_02_01.mp4,1,0,0,0,1,0,0,0,0,1,0,0,0,0
23,190_05_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
24,115_06_01.mp4,0,1,0,1,0,0,1,0,0,0,0,0,0,0
25,12_02_02.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
26,125_03_02.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
27,44_09_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
28,49_05_03.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
29,135_08_01.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
30,163_04_01.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
31,169_04_02.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
32,196_09_03.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
33,155_06_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
34,203_010_03.mp4,0,1,0,1,0,0,1,0,0,0,0,0,0,0
35,12_010_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
36,44_04_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
37,121_06_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
38,36_09_03.mp4,1,0,0,0,1,0,0,0,0,0,0,0,1,0
39,103_07_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
40,190_02_01.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
41,131_07_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
42,221_05_03.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
43,52_04_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
