,Unnamed: 0,File,V_Neg,V_Neut,V_Pos,A_Neut,A_Pos,Laning,Shopping,Returning,Roaming,Fighting,Pushing,Defending,Dead,Misc
0,0,5_07_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
1,1,149_07_01.mp4,0,0,1,0,1,0,0,1,0,0,0,0,0,0
3,3,224_05_02.mp4,0,1,0,1,0,0,0,0,0,0,1,0,0,0
5,5,196_06_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
6,6,26_03_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
7,7,72_05_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
9,9,175_05_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
10,10,132_06_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
12,12,113_02_03.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
15,15,159_05_01.mp4,0,0,1,1,0,0,0,0,0,0,0,0,1,0
16,16,14_04_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
17,17,109_05_02.mp4,0,0,1,0,1,0,0,0,1,0,0,0,0,0
18,18,135_02_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
21,21,163_03_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
22,22,168_02_01.mp4,1,0,0,0,1,0,0,0,0,1,0,0,0,0
23,23,190_05_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
24,24,115_06_01.mp4,0,1,0,1,0,0,1,0,0,0,0,0,0,0
25,25,12_02_02.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
26,26,125_03_02.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
28,28,49_05_03.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
30,30,163_04_01.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
31,31,169_04_02.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
36,36,44_04_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
39,39,103_07_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
40,40,190_02_01.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
42,42,221_05_03.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
43,43,52_04_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
45,45,162_01_03.mp4,1,0,0,1,0,0,0,0,0,0,0,0,1,0
48,48,142_03_03.mp4,0,1,0,1,0,0,1,0,0,0,0,0,0,0
49,49,219_04_01.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
55,55,125_02_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
57,57,76_01_02.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
58,58,106_03_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
59,59,29_01_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
61,61,78_01_03.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
63,63,154_06_03.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
64,64,149_03_02.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
65,65,12_01_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
66,66,166_06_01.mp4,0,1,0,1,0,0,0,0,0,0,0,1,0,0
67,67,127_03_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
69,69,72_04_03.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
70,70,45_07_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
72,72,104_01_02.mp4,0,1,0,1,0,0,0,0,0,0,0,1,0,0
78,78,118_03_02.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
80,80,57_06_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
82,82,45_03_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
83,83,226_06_03.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
84,84,140_05_01.mp4,0,1,0,1,0,0,0,1,0,0,0,0,0,0
85,85,18_07_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
86,86,213_01_01.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
88,88,3_06_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
89,89,152_05_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
92,92,83_02_01.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
93,93,42_02_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
96,96,206_07_01.mp4,0,1,0,1,0,0,0,0,0,0,1,0,0,0
98,98,17_07_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
102,102,226_02_02.mp4,0,1,0,1,0,0,0,0,0,0,1,0,0,0
106,106,29_07_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
107,107,145_03_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
109,109,151_03_02.mp4,0,0,1,0,1,0,0,0,1,0,0,0,0,0
111,111,11_04_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
114,114,133_02_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
115,115,166_01_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
119,119,224_02_02.mp4,0,1,0,1,0,0,0,0,0,0,1,0,0,0
120,120,46_01_03.mp4,1,0,0,0,1,0,0,0,0,1,0,0,0,0
121,121,163_03_02.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
124,124,116_06_01.mp4,0,1,0,1,0,0,0,1,0,0,0,0,0,0
125,125,213_05_03.mp4,0,1,0,1,0,0,0,0,0,0,1,0,0,0
128,128,220_04_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
129,129,84_01_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
130,130,32_07_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
132,132,211_02_01.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
134,134,87_04_02.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
138,138,21_01_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
139,139,109_01_03.mp4,0,1,0,1,0,0,0,0,0,0,0,1,0,0
142,142,166_04_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
143,143,185_05_02.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
144,144,48_01_01.mp4,0,1,0,1,0,0,0,1,0,0,0,0,0,0
146,146,74_05_02.mp4,0,0,1,0,1,0,0,0,0,1,0,0,0,0
147,147,165_03_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
149,149,42_03_02.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
152,152,237_01_03.mp4,0,1,0,1,0,0,0,0,0,0,0,1,0,0
153,153,156_02_03.mp4,0,1,0,1,0,0,0,1,0,0,0,0,0,0
154,154,86_05_01.mp4,0,0,1,0,1,0,0,0,0,0,0,0,1,0
155,155,114_02_02.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
156,156,87_02_01.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
157,157,102_06_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
158,158,145_03_01.mp4,0,1,0,1,0,0,1,0,0,0,0,0,0,0
159,159,221_03_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
163,163,159_03_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
164,164,148_05_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
165,165,92_04_03.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
167,167,103_01_02.mp4,0,1,0,1,0,0,0,1,0,0,0,0,0,0
172,172,216_03_01.mp4,0,0,1,1,0,0,1,0,0,0,0,0,0,0
173,173,84_04_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
174,174,167_01_02.mp4,0,0,1,1,0,1,0,0,0,0,0,0,0,0
176,176,158_02_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
177,177,138_05_02.mp4,0,0,1,0,1,0,0,1,0,0,0,0,0,0
178,178,162_02_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
179,179,143_05_03.mp4,0,0,1,0,1,0,0,0,1,0,0,0,0,0
182,182,61_03_02.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
184,184,7_04_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
185,185,51_06_01.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
186,186,108_05_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
187,187,145_04_01.mp4,0,0,1,1,0,1,0,0,0,0,0,0,0,0
188,188,210_03_02.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
189,189,122_04_02.mp4,0,1,0,1,0,0,1,0,0,0,0,0,0,0
190,190,33_06_01.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
193,193,121_04_02.mp4,0,1,0,1,0,0,1,0,0,0,0,0,0,0
195,195,223_01_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
197,197,198_06_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
